id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled
150,Enfermería,Enfermería Técnica,Alexander Von Humboldt,Pasco        ,Instituto,Pública,3.0,240.0,0.0,0.0,SI,0.0,0.0,8.0
151,Educación Inicial,Educación Inicial,Alfonso Barrantes Lingan,Cajamarca    ,Instituto,Pública,5.0,223.0,0.0,0.0,NO,0.0,0.0,0.0
152,Educación Primaria,Educación Primaria,Alfonso Barrantes Lingan,Cajamarca    ,Instituto,Pública,5.0,203.0,0.0,0.0,NO,0.0,0.0,15.0
153,Educación Secundaria,Educación en Computación e Informática,Alfonso Barrantes Lingan,Cajamarca    ,Instituto,Pública,5.0,203.0,0.0,0.0,NO,0.0,0.0,26.0
154,Contabilidad y Finanzas,Contabilidad,Alfonso Barrantes Lingan,Cajamarca    ,Instituto,Pública,3.0,203.0,100.0,0.0,NO,39.0,39.0,94.0
155,Ciencias de la Computación,Computación e Informática,Alfonso Barrantes Lingan,Cajamarca    ,Instituto,Pública,3.0,203.0,96.0,0.0,NO,30.0,31.0,52.0
156,Enfermería,Enfermería Técnica,Alfonso Barrantes Lingan,Cajamarca    ,Instituto,Pública,3.0,203.0,85.0,0.0,NO,17.0,20.0,51.0
157,Educación Inicial,Educación Inicial,Alfonso Ugarte,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
158,Educación Primaria,Educación Primaria,Alfonso Ugarte,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
159,Educación Secundaria,Educación Secundaria - Ciencias Sociales,Alfonso Ugarte,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
160,Educación Secundaria,Educación Secundaria - Comunicación,Alfonso Ugarte,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
161,Educación Secundaria,Educación Secundaria - Matemática,Alfonso Ugarte,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
162,Educación Física,Educación Física,Alfonso Ugarte,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
