id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled,duration_imputed_flag,monthly_income_imputed_flag,annual_cost_imputed_flag,admission_rate_imputed_flag,duration_years_imputed,monthly_income_imputed,annual_cost_imputed,admission_rate_imputed,income_score,admission_score,cost_score,duration_score
638,Enfermería,Enfermería Técnica,César Augusto Guardia Mayorga,Ayacucho     ,Instituto,Pública,3.0,120.0,93.0,0.0,SI,27.0,29.0,110.0,False,True,False,False,3.0,1332.0,120.0,93.0,0.04396437369717643,0.003786644951140065,0.9963110974485091,0.9811320754716981
639,Administración de Empresas,Administración,Cesca,Lima         ,Instituto,Privada,3.0,800.0,0.0,1804.0,SI,0.0,0.0,0.0,False,False,False,True,3.0,1804.0,800.0,91.0,0.13340913397763882,0.003705211726384365,0.9754073163233938,0.9811320754716981
640,Administración de Empresas,Administración Bancaria y Financiera,Cesca,Lima         ,Instituto,Privada,3.0,3200.0,0.0,1804.0,SI,0.0,0.0,0.0,False,False,False,True,3.0,1804.0,3200.0,91.0,0.13340913397763882,0.003705211726384365,0.9016292652935751,0.9811320754716981
641,Marketing,Marketing y Publicidad,Cesca,Lima         ,Instituto,Privada,3.0,3200.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,3.0,1915.0,3200.0,94.0,0.15444381277240857,0.003827361563517915,0.9016292652935751,0.9811320754716981
642,Secretariado,Secretariado Ejecutivo Computarizado,Cesca,Lima         ,Instituto,Privada,3.0,800.0,0.0,1702.0,SI,0.0,0.0,0.0,False,False,False,True,3.0,1702.0,800.0,95.0,0.11407996967974228,0.0038680781758957655,0.9754073163233938,0.9811320754716981
643,Contabilidad y Finanzas,Contabilidad,Cesca,Lima         ,Instituto,Privada,3.0,800.0,0.0,1711.0,SI,0.0,0.0,0.0,False,False,False,True,3.0,1711.0,800.0,83.0,0.11578548417661551,0.0033794788273615634,0.9754073163233938,0.9811320754716981
644,Ciencias de la Computación,Computación e Informática,Cesca,Lima         ,Instituto,Privada,3.0,800.0,0.0,1679.0,SI,0.0,0.0,0.0,False,False,False,True,3.0,1679.0,800.0,89.0,0.10972143263217737,0.0036237785016286646,0.9754073163233938,0.9811320754716981
645,Ingeniería Electrónica,Electrónica,Cesca,Lima         ,Instituto,Privada,3.0,3200.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,3.0,1819.0,3200.0,95.0,0.13625165813909418,0.0038680781758957655,0.9016292652935751,0.9811320754716981
646,Marketing,Marketing,Cesca Arequipa,Arequipa     ,Instituto,Privada,3.0,,0.0,0.0,NO,0.0,0.0,0.0,False,True,True,True,3.0,1915.0,3482.0,94.0,0.15444381277240857,0.003827361563517915,0.8929603442975714,0.9811320754716981
647,Negocios Internacionales,Administración de Negocios Internacionales,Cesca Arequipa,Arequipa     ,Instituto,Privada,3.0,,0.0,0.0,NO,0.0,0.0,0.0,False,True,True,True,3.0,2001.0,2200.0,92.5,0.17074095129808603,0.00376628664495114,0.9323701198893329,0.9811320754716981
648,Secretariado,Secretariado Ejecutivo,Cesca Arequipa,Arequipa     ,Instituto,Privada,3.0,,0.0,0.0,SI,0.0,0.0,0.0,False,True,True,True,3.0,1660.0,880.0,95.0,0.10612090202766723,0.0038680781758957655,0.9729480479557332,0.9811320754716981
